string,tag,token_type
alignment,NN
amplify,NN
artisan,NN
artisanal,JJ
clear goal,NN
disruptive innovation,NN
diversity,NN
diversified,JJ
emotional intelligence,NN
empowering,VBG
empower,VB
exit strategy,NN
face time,NN
generation x,NN
globalization,NN
heavy lifting,JJ
holistic,JJ
millennial,NN
lateral violence,NN
mind share,NN
mouthfeel,NN
fleet dynamism,NN
new normal,NN
on the runway,JJ
optics,NNS
organic growth,NNP
patriarchy,NN
proactive,JJ
push the envelope,VB
reimagine,VB
re-imagine,VB
resonate,NN
roadmap,NN
robust,JJ
rustic,JJ
strategic communication,NN
streamline,NN
survival strategy,NN
sustainably,RB
synergy,NN
synergetic,JJ
warfighter,NNP
wellness,NN
wheelhouse,NN
win-win,JJ
win-win,NN
